,fname,label
0,WSU_P2_DOWN_UNLOADED.wav_split_21,P2_UNLOADED
1,background_06_02_03.wav_split_27,BACKGROUND_NOISE
2,background_06_02_01.wav_split_36,BACKGROUND_NOISE
3,train.wav_split_16,BACKGROUND_NOISE
4,background_06_02_04.wav_split_20,BACKGROUND_NOISE
5,background_06_02_01.wav_split_1,BACKGROUND_NOISE
6,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_7,P2_LOADED
7,train.wav_split_29,BACKGROUND_NOISE
8,canopy_up_01.wav_split_4,BACKGROUND_NOISE
9,purdue_P2_unloaded_up_down copy 2.wav_split_40,P2_UNLOADED
10,background_06_02_03.wav_split_18,BACKGROUND_NOISE
11,background_in_air_iris.wav_split_34,BACKGROUND_NOISE
12,P1_stationary copy.wav_split_32,P1
13,gator.wav_split_34,BACKGROUND_NOISE
14,background_06_02_01.wav_split_6,BACKGROUND_NOISE
15,background_06_02_04.wav_split_27,BACKGROUND_NOISE
16,in_air_iris_over_home_base.wav_split_8,BACKGROUND_NOISE
17,in_air_iris_far_away.wav_split_39,BACKGROUND_NOISE
18,WSU_P2_UNLOADED_BACK_AND_FORTH copy.wav_split_38,P2_UNLOADED
19,background_06_02_01.wav_split_31,BACKGROUND_NOISE
20,train.wav_split_11,BACKGROUND_NOISE
21,background_06_02_03.wav_split_20,BACKGROUND_NOISE
22,WSU_P2_DOWN_UNLOADED.wav_split_26,P2_UNLOADED
23,gator.wav_split_33,BACKGROUND_NOISE
24,background_in_air_iris.wav_split_33,BACKGROUND_NOISE
25,P1_stationary copy.wav_split_35,P1
26,background_06_02_04.wav_split_18,BACKGROUND_NOISE
27,WSU_P2_DOWN_UNLOADED.wav_split_19,P2_UNLOADED
28,canopy_up_01.wav_split_3,BACKGROUND_NOISE
29,background_06_02_04.wav_split_11,BACKGROUND_NOISE
30,P1_stationary.wav_split_32,P1
31,WSU_P2_UNLOADED_UP_AND_DOWN.wav_split_32,P2_UNLOADED
32,WSU_P2_LOADED_up_and_down.wav_split_35,P2_LOADED
33,background_06_02_03.wav_split_16,BACKGROUND_NOISE
34,WSU_P2_DOWN_UNLOADED.wav_split_10,P2_UNLOADED
35,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_9,P2_LOADED
36,purdue_P2_unloaded_up_down copy.wav_split_4,P2_UNLOADED
37,train.wav_split_27,BACKGROUND_NOISE
